,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device
0,1,1,4.421425584762815,0.13852813852813853,3.3034212589263916,3.6410882472991943,0.001,64,0,cuda
1,1,2,2.206980239777338,0.17027417027417027,3.164283275604248,7.419946193695068,0.001,64,0,cuda
2,1,3,2.169198120139206,0.21212121212121213,3.211712598800659,11.211570978164673,0.001,64,0,cuda
3,1,4,2.127979297486563,0.19336219336219337,3.1239147186279297,14.922398567199707,0.001,64,0,cuda
4,1,5,2.030451760147557,0.21933621933621933,3.2043662071228027,18.709474802017212,0.001,64,0,cuda
5,1,6,1.9888084304625167,0.21933621933621933,3.206737995147705,22.50654888153076,0.001,64,0,cuda
6,1,7,1.910720833452233,0.25685425685425683,3.1711018085479736,26.273595333099365,0.001,64,0,cuda
7,1,8,1.887230961525767,0.2698412698412698,3.148592233657837,30.02396559715271,0.001,64,0,cuda
8,1,9,1.971325177650947,0.23953823953823955,3.096992015838623,33.723572731018066,0.001,64,0,cuda
9,1,10,1.9972111227536442,0.24963924963924963,3.116654872894287,37.42429161071777,0.001,64,0,cuda
10,1,11,1.9787159086477877,0.23088023088023088,3.2033045291900635,41.20689821243286,0.001,64,0,cuda
11,1,12,2.0062757990232964,0.24386724386724387,3.2376761436462402,45.04221844673157,0.001,64,0,cuda
12,1,13,1.8587468905538365,0.2828282828282828,3.155449151992798,48.77249717712402,0.001,64,0,cuda
13,1,14,1.7862979540061126,0.28715728715728717,3.2137274742126465,52.59185457229614,0.001,64,0,cuda
14,1,15,1.7652827981230501,0.33910533910533913,3.23225474357605,56.42789268493652,0.001,64,0,cuda
15,1,16,1.659790708389117,0.33044733044733043,3.197052001953125,60.26077723503113,0.001,64,0,cuda
16,1,17,1.5691016016240416,0.40115440115440115,3.105914354324341,63.98163294792175,0.001,64,0,cuda
17,1,18,1.580441432425814,0.37373737373737376,3.126504421234131,67.70341539382935,0.001,64,0,cuda
18,1,19,1.7865889671044948,0.3939393939393939,3.2178587913513184,71.54013705253601,0.001,64,0,cuda
19,1,20,1.8821478166965524,0.31024531024531027,3.2027642726898193,75.35567569732666,0.001,64,0,cuda
20,1,21,1.651847022436398,0.37806637806637805,3.311711311340332,79.31104469299316,0.001,64,0,cuda
21,1,22,1.4468317848951442,0.455988455988456,3.212902307510376,83.19057559967041,0.001,64,0,cuda
22,1,23,1.4351065955292783,0.443001443001443,3.2030272483825684,87.03164339065552,0.001,64,0,cuda
23,1,24,1.2584519804298104,0.4935064935064935,3.2649688720703125,90.90550804138184,0.001,64,0,cuda
24,1,25,1.0783017586492012,0.5873015873015873,3.212900161743164,94.75291061401367,0.001,64,0,cuda
25,1,26,1.0459730410988712,0.5916305916305916,3.1761562824249268,98.57001733779907,0.001,64,0,cuda
26,1,27,1.0414187416197762,0.6147186147186147,3.139744758605957,102.34457755088806,0.001,64,0,cuda
27,1,28,1.2053168721357292,0.5613275613275613,3.1917405128479004,106.16635966300964,0.001,64,0,cuda
28,1,29,1.286257801977931,0.5194805194805194,3.169656991958618,109.96448850631714,0.001,64,0,cuda
29,1,30,1.0947042725991034,0.6103896103896104,3.1774656772613525,113.76315450668335,0.001,64,0,cuda
30,1,31,0.9125068259961677,0.6681096681096681,3.1161322593688965,117.49635291099548,0.001,64,0,cuda
31,1,32,0.957528333041231,0.6782106782106783,3.129737615585327,121.27423548698425,0.001,64,0,cuda
32,1,33,0.8749433155527706,0.6897546897546898,3.2725138664245605,125.18430137634277,0.001,64,0,cuda
33,1,34,0.8848063412510816,0.6911976911976911,3.219231367111206,129.03749108314514,0.001,64,0,cuda
34,1,35,0.6468293216149357,0.7691197691197691,3.2039053440093994,132.88334345817566,0.001,64,0,cuda
35,1,36,0.5656163549698449,0.7821067821067821,3.186678647994995,136.73461842536926,0.001,64,0,cuda
